Date,SeriesName,2021Q2 (2021-09-07),2021Q3 (2021-12-07),2021Q4 (2022-03-08),2022Q1 (2022-06-07)
1993-06-01,KBP6006.R.S,0.02317908972981168,0.032480910463067496,0.029829557589912247,0.023473360184125883
1993-09-01,KBP6006.R.S,0.29579391215124956,0.30523421834327497,0.30335086355299895,0.3009881891613972
1993-12-01,KBP6006.R.S,0.10078959673371567,0.11013084278718081,0.10769813070567753,0.10247884633752302
1994-03-01,KBP6006.R.S,-0.3086917949965337,-0.299558561177648,-0.3031448456182411,-0.314362605591024
1994-06-01,KBP6006.R.S,0.156351399991736,0.16572087085611167,0.1634446849605452,0.15903932310052743
1994-09-01,KBP6006.R.S,0.2240298340462239,0.23343368484234941,0.2313481595540986,0.22793421621476107
1994-12-01,KBP6006.R.S,0.5576467243316965,0.5672200489946283,0.5660743740412918,0.5675475704306081
1995-03-01,KBP6006.R.S,-0.1736176158826729,-0.16441576580331996,-0.16762152540786598,-0.17686058943843264
1995-06-01,KBP6006.R.S,-0.15655223874740226,-0.1473417196361872,-0.150499403436171,-0.15948847747818856
1995-09-01,KBP6006.R.S,0.01439604329161053,0.023693402329773672,0.021017306257527252,0.01453244637559942
1995-12-01,KBP6006.R.S,-0.1343268097235061,-0.12510500032841218,-0.12820007166026268,-0.1368635663316551
1996-03-01,KBP6006.R.S,0.5550228227195053,0.5645948144680515,0.5634417475783927,0.5648765065438662
1996-06-01,KBP6006.R.S,0.254409910259069,0.26382919381396536,0.2618292538951451,0.25886034700852517
1996-09-01,KBP6006.R.S,0.2544734502541343,0.26389276608667905,0.261893005169844,0.2589250290779268
1996-12-01,KBP6006.R.S,0.13929325374679116,0.14865405925252087,0.14632981792292765,0.14167457199936762
1997-03-01,KBP6006.R.S,-0.07619313218983152,-0.06694179149878052,-0.06987309127741899,-0.0776849881630864
1997-06-01,KBP6006.R.S,-0.001987625494695945,0.00730141081226701,0.00457915941322416,-0.0021457041404546735
1997-09-01,KBP6006.R.S,-0.2420660748884246,-0.23289899590538726,-0.23629758539653126,-0.24653934801075145
1997-12-01,KBP6006.R.S,-0.28097909941598126,-0.2718317878395946,-0.27534000133419795,-0.28615179920043426
1998-03-01,KBP6006.R.S,-0.1678166685719948,-0.1586118716725002,-0.16180128911203145,-0.1709553753105657
1998-06-01,KBP6006.R.S,-0.22295800677281427,-0.21378122109240924,-0.21712598020283524,-0.22708782953465023
1998-09-01,KBP6006.R.S,-0.3868559419265564,-0.3777624146711319,-0.38156889959260476,-0.3939316828509029
1998-12-01,KBP6006.R.S,-0.24348882605815406,-0.23432246981772736,-0.2377250674187792,-0.24798767185476575
1999-03-01,KBP6006.R.S,0.14972295495171267,0.15908905863581493,0.15679419938625402,0.15229173771493298
1999-06-01,KBP6006.R.S,0.0746070221166939,0.08393496769799323,0.08142849525770934,0.07582566346034704
1999-09-01,KBP6006.R.S,0.20918503959951132,0.21858134939639462,0.21645400402816964,0.21282259992225594
1999-12-01,KBP6006.R.S,0.21286524308518417,0.22226342238668045,0.22014644472038924,0.21656895175982846
2000-03-01,KBP6006.R.S,0.24417295475737652,0.25358703804668764,0.25155825904226675,0.24843939142706992
2000-06-01,KBP6006.R.S,0.1310330939356818,0.14038970336721865,0.13804219189096628,0.13326594323537022
2000-09-01,KBP6006.R.S,0.16305168280105595,0.17242455733853526,0.1701672471750607,0.16586003747479305
2000-12-01,KBP6006.R.S,0.09964549202695423,0.10898615688727739,0.10655022168601268,0.1013141773763535
2001-03-01,KBP6006.R.S,-0.007860969563096482,0.001425083146934365,-0.0013137143699774856,-0.008124616292733413
2001-06-01,KBP6006.R.S,-0.0600688331704414,-0.050809301505300275,-0.05369517664185703,-0.06127086935252921
2001-09-01,KBP6006.R.S,-0.16643846033550466,-0.15723296332074044,-0.16041849813469014,-0.16955239501900493
2001-12-01,KBP6006.R.S,0.06254046190051381,0.07186227779630129,0.06932181199120085,0.06354221766310988
2002-03-01,KBP6006.R.S,0.20651043591301965,0.21590538703939757,0.2137705068992719,0.21009992263697144
2002-06-01,KBP6006.R.S,0.2896492299176191,0.299086414675782,0.29718574936609476,0.29473306178409897
2002-09-01,KBP6006.R.S,0.22735823282250384,0.23676377441015495,0.23468762573560598,0.2313224399692991
2002-12-01,KBP6006.R.S,0.09101155904666576,0.10034783795996248,0.09788757963526055,0.09252505720620402
2003-03-01,KBP6006.R.S,0.0013522424912972531,0.010642975416023548,0.007930132941218674,0.0012541949725389688
2003-06-01,KBP6006.R.S,-0.06521383108725025,-0.05595691302686674,-0.05885728241762959,-0.06650834398538082
2003-09-01,KBP6006.R.S,-0.040514726464726605,-0.03124526151931144,-0.03407604971551398,-0.04136529514332209
2003-12-01,KBP6006.R.S,-0.02495871829641586,-0.015681351062678008,-0.018468315579946284,-0.025529681701423227
2004-03-01,KBP6006.R.S,0.40100862630129863,0.4105023804600522,0.4089154317787332,0.4080940432888184
2004-06-01,KBP6006.R.S,0.3481322812196235,0.35759917475193836,0.35586326523535844,0.354267293400657
2004-09-01,KBP6006.R.S,0.45617874565902783,0.46570052565739556,0.46426899972793795,0.4642557959852553
2004-12-01,KBP6006.R.S,0.198291297491885,0.2076820733825042,0.2055240386593141,0.20173305258558596
2005-03-01,KBP6006.R.S,0.17495448524783982,0.18433340628360875,0.1821096281540083,0.1779767821038251
2005-06-01,KBP6006.R.S,0.5286661154794746,0.5382247182983163,0.5369974004913687,0.538046061166198
2005-09-01,KBP6006.R.S,0.3327455832200689,0.3422046604718438,0.3404254042492391,0.33860403332571426
